DateTime,Date,Hour,Day of the Week,Season,Daytime,Consumption (kW)
01/03/2021 20:15,01/03/2021,20:15:00,0,1,0,0.176
01/03/2021 20:30,01/03/2021,20:30:00,0,1,0,0.14
01/03/2021 20:45,01/03/2021,20:45:00,0,1,0,0.128
01/03/2021 21:00,01/03/2021,21:00:00,0,1,0,0.224
01/03/2021 21:15,01/03/2021,21:15:00,0,1,0,0.24
01/03/2021 21:30,01/03/2021,21:30:00,0,1,0,0.2
01/03/2021 21:45,01/03/2021,21:45:00,0,1,0,0.152
01/03/2021 22:00,01/03/2021,22:00:00,0,1,0,0.152
01/03/2021 22:15,01/03/2021,22:15:00,0,1,0,0.164
01/03/2021 22:30,01/03/2021,22:30:00,0,1,0,0.12
01/03/2021 22:45,01/03/2021,22:45:00,0,1,0,0.136
01/03/2021 23:00,01/03/2021,23:00:00,0,1,0,0.188
01/03/2021 23:15,01/03/2021,23:15:00,0,1,0,0.296
01/03/2021 23:30,01/03/2021,23:30:00,0,1,0,0.256
01/03/2021 23:45,01/03/2021,23:45:00,0,1,0,0.228
02/03/2021 00:00,02/03/2021,00:00:00,1,1,0,0.168
02/03/2021 00:15,02/03/2021,00:15:00,1,1,0,0.176
02/03/2021 00:30,02/03/2021,00:30:00,1,1,0,0.116
02/03/2021 00:45,02/03/2021,00:45:00,1,1,0,0.072
02/03/2021 01:00,02/03/2021,01:00:00,1,1,0,0.124
02/03/2021 01:15,02/03/2021,01:15:00,1,1,0,0.112
02/03/2021 01:30,02/03/2021,01:30:00,1,1,0,0.08
02/03/2021 01:45,02/03/2021,01:45:00,1,1,0,0.076
02/03/2021 02:00,02/03/2021,02:00:00,1,1,0,0.176
02/03/2021 02:15,02/03/2021,02:15:00,1,1,0,0.176
02/03/2021 02:30,02/03/2021,02:30:00,1,1,0,0.144
02/03/2021 02:45,02/03/2021,02:45:00,1,1,0,0.132
02/03/2021 03:00,02/03/2021,03:00:00,1,1,0,0.116
02/03/2021 03:15,02/03/2021,03:15:00,1,1,0,0.092
02/03/2021 03:30,02/03/2021,03:30:00,1,1,0,0.064
02/03/2021 03:45,02/03/2021,03:45:00,1,1,0,0.076
02/03/2021 04:00,02/03/2021,04:00:00,1,1,0,0.108
02/03/2021 04:15,02/03/2021,04:15:00,1,1,0,0.084
02/03/2021 04:30,02/03/2021,04:30:00,1,1,0,0.068
02/03/2021 04:45,02/03/2021,04:45:00,1,1,0,0.08
02/03/2021 05:00,02/03/2021,05:00:00,1,1,0,0.124
02/03/2021 05:15,02/03/2021,05:15:00,1,1,0,0.152
02/03/2021 05:30,02/03/2021,05:30:00,1,1,0,0.136
02/03/2021 05:45,02/03/2021,05:45:00,1,1,0,0.156
